,0
0,57.36128839220665
1,0.5653728730498128
2,0.0208522671419464
3,0.024424909084269742
4,0.029373655814152855
5,0.007344509984093282
6,0.021509870441197534
7,0.030526681863808594
8,0.011517120740903847
9,0.01812830243756676
10,0.031060376443157144
11,0.015470100426934886
12,0.014386706608242416
13,0.030972927564704412
14,0.019117976081721843
15,0.010362870184988772
16,0.030266085126375245
17,0.02238553548952049
18,0.006148475190393567
19,0.02895403512759751
20,0.025206478294860328
21,0.0019402218219418885
22,0.027063120367788945
23,0.02752390654736053
24,0.002825379473445602
25,0.024631336322012587
26,0.02929120272262037
27,0.0070797347751128
28,0.021707621981395024
29,0.030472863183512403
30,0.011261760446760305
31,0.018351001659903422
32,0.031045165766916006
33,0.01523109766307968
34,0.014629733138304797
35,0.030996625203534932
36,0.018900343775616696
37,0.010621061924990946
38,0.030328215542096172
39,0.022193714073132743
40,0.0064153061764151585
41,0.02905335124417399
42,0.02504434549201442
43,0.002187314417616883
44,0.027197627621615466
45,0.027394727273791226
46,0.0025668827279047794
47,0.024798330540414828
48,0.02919757348121718
49,0.006813665110774027
