,0
0,56.22478971455952
1,9.993432016048851
2,2.6352072870148278
3,5.252786238448802
4,7.033846687087265
5,3.0826285378390064
6,3.560343295939479
7,6.840093985037264
8,3.844344501053909
9,2.7231983567484694
10,6.754540190276383
11,4.604409352644975
12,1.8215135379879384
13,6.5286138523979815
14,5.2717904971689915
15,0.9114188974244961
16,6.172626124042141
17,5.834579080030217
18,0.38725235130338165
19,5.69362363522232
20,6.2812225803958315
21,1.1532624685326311
22,5.101348575622231
23,6.602655076617234
24,2.068050280880447
25,4.407929523009466
26,6.792371443647717
27,2.958999066279622
28,3.627791862127974
29,6.846538501912392
30,3.7960193291973265
31,2.777810846782738
32,6.7640625504952805
33,4.559461857893892
34,1.878732964774578
35,6.546609006738699
36,5.233003215206127
37,0.9667414097592646
38,6.198572561578424
39,5.802693277794473
40,0.371224171412454
41,5.727000212428186
42,6.256888950611408
43,1.0967059825345085
44,5.141474954380302
45,6.586366638536267
46,2.011125306653232
47,4.453979751900739
48,6.784457503210936
49,2.9046530480013177
